zipcode,county,,
98001,Auburn,,
98002,Auburn,,
98003,Federal Way,,
98004,Bellevue,,
98005,Bellevue,,
98006,Bellevue,,
98007,Bellevue,,
98008,Bellevue,,
98009,Bellevue,,
98010,Black Diamond,,
98011,Bothell,,
98012,Bothell,,
98013,Burton,,
98014,Carnation,,
98015,Bellevue,,
98019,Duvall,,
98020,Edmonds,,
98021,Bothell,,
98022,Enumclaw,,
98023,Federal Way,,
98024,Fall City,,
98025,Hobart,,
98026,Edmonds,,
98027,Issaquah,,
98028,Kenmore,,
98029,Issaquah,,
98030,Kent,,
98031,Kent,,
98032,Kent,,
98033,Kirkland,,
98034,Kirkland,,
98035,Kent,,
98036,Lynnwood,,
98037,Lynnwood,,
98038,Maple Valley,,
98039,Medina,,
98040,Mercer Island,,
98041,Bothell,,
98042,Kent,,
98043,Mountlake Terrace,,
98045,North Bend,,
98046,Lynnwood,,
98047,Pacific,,
98050,Preston,,
98051,Ravensdale,,
98052,Redmond,,
98053,Redmond,,
98054,Redondo,,
98055,Renton,,
98056,Renton,,
98057,Renton,,
98058,Renton,,
98059,Renton,,
98061,Rollingbay,,
98062,Seahurst,,
98063,Federal Way,,
98064,Kent,,
98065,Snoqualmie,,
98068,Snoqualmie Pass,,
98070,Vashon,,
98071,Auburn,,
98072,Woodinville,,
98073,Redmond,,
98074,Sammamish,,
98075,Sammamish,,
98077,Woodinville,,
98082,Mill Creek,,
98083,Kirkland,,
98087,Lynnwood,,
98089,Kent,,
98092,Auburn,,
98093,Federal Way,,
98101,Seattle,,
98102,Seattle,,
98103,Seattle,,
98104,Seattle,,
98105,Seattle,,
98106,Seattle,,
98107,Seattle,,
98108,Seattle,,
98109,Seattle,,
98110,Bainbridge Island,,
98111,Seattle,,
98112,Seattle,,
98113,Seattle,,
98114,Seattle,,
98115,Seattle,,
98116,Seattle,,
98117,Seattle,,
98118,Seattle,,
98119,Seattle,,
98121,Seattle,,
98122,Seattle,,
98124,Seattle,,
98125,Seattle,,
98126,Seattle,,
98127,Seattle,,
98129,Seattle,,
98131,Seattle,,
98132,Seattle,,
98133,Seattle,,
98134,Seattle,,
98136,Seattle,,
98138,Seattle,,
98139,Seattle,,
98141,Seattle,,
98144,Seattle,,
98145,Seattle,,
98146,Seattle,,
98148,Seattle,,
98151,Seattle,,
98154,Seattle,,
98155,Seattle,,
98158,Seattle,,
98160,Seattle,,
98161,Seattle,,
98164,Seattle,,
98165,Seattle,,
98166,Seattle,,
98168,Seattle,,
98170,Seattle,,
98171,Seattle,,
98174,Seattle,,
98175,Seattle,,
98177,Seattle,,
98178,Seattle,,
98181,Seattle,,
98184,Seattle,,
98185,Seattle,,
98188,Seattle,,
98190,Seattle,,
98191,Seattle,,
98194,Seattle,,
98195,Seattle,,
98198,Seattle,,
98199,Seattle,,
98201,Everett,,
98203,Everett,,
98204,Everett,,
98205,Everett,,
98206,Everett,,
98207,Everett,,
98208,Everett,,
98213,Everett,,
98220,Acme,,
98221,Anacortes,,
98222,Blakely Island,,
98223,Arlington,,
98224,Baring,,
98225,Bellingham,,
98226,Bellingham,,
98227,Bellingham,,
98228,Bellingham,,
98229,Bellingham,,
98230,Blaine,,
98231,Blaine,,
98232,Bow,,
98233,Burlington,,
98235,Clearlake,,
98236,Clinton,,
98237,Concrete,,
98238,Conway,,
98239,Coupeville,,
98240,Custer,,
98241,Darrington,,
98243,Deer Harbor,,
98244,Deming,,
98245,Eastsound,,
98247,Everson,,
98248,Ferndale,,
98249,Freeland,,
98250,Friday Harbor,,
98251,Gold Bar,,
98252,Granite Falls,,
98253,Greenbank,,
98255,Hamilton,,
98256,Index,,
98257,La Conner,,
98258,Lake Stevens,,
98259,North Lakewood,,
98260,Langley,,
98261,Lopez Island,,
98262,Lummi Island,,
98263,Lyman,,
98264,Lynden,,
98266,Maple Falls,,
98267,Marblemount,,
98270,Marysville,,
98271,Marysville,,
98272,Monroe,,
98273,Mount Vernon,,
98274,Mount Vernon,,
98275,Mukilteo,,
98276,Nooksack,,
98277,Oak Harbor,,
98278,Oak Harbor,,
98279,Olga,,
98280,Orcas,,
98281,Point Roberts,,
98282,Camano Island,,
98283,Rockport,,
98284,Sedro Woolley,,
98286,Shaw Island,,
98287,Silvana,,
98288,Skykomish,,
98290,Snohomish,,
98291,Snohomish,,
98292,Stanwood,,
98293,Startup,,
98294,Sultan,,
98295,Sumas,,
98296,Snohomish,,
98297,Waldron,,
98303,Anderson Island,,
98304,Ashford,,
98305,Beaver,,
98310,Bremerton,,
98311,Bremerton,,
98312,Bremerton,,
98314,Bremerton,,
98315,Silverdale,,
98320,Brinnon,,
98321,Buckley,,
98322,Burley,,
98323,Carbonado,,
98324,Carlsborg,,
98325,Chimacum,,
98326,Clallam Bay,,
98327,Dupont,,
98328,Eatonville,,
98329,Gig Harbor,,
98330,Elbe,,
98331,Forks,,
98332,Gig Harbor,,
98333,Fox Island,,
98335,Gig Harbor,,
98336,Glenoma,,
98337,Bremerton,,
98338,Graham,,
98339,Port Hadlock,,
98340,Hansville,,
98342,Indianola,,
98343,Joyce,,
98344,Kapowsin,,
98345,Keyport,,
98346,Kingston,,
98348,La Grande,,
98349,Lakebay,,
98350,La Push,,
98351,Longbranch,,
98352,Sumner,,
98353,Manchester,,
98354,Milton,,
98355,Mineral,,
98356,Morton,,
98357,Neah Bay,,
98358,Nordland,,
98359,Olalla,,
98360,Orting,,
98361,Packwood,,
98362,Port Angeles,,
98363,Port Angeles,,
98364,Port Gamble,,
98365,Port Ludlow,,
98366,Port Orchard,,
98367,Port Orchard,,
98368,Port Townsend,,
98370,Poulsbo,,
98371,Puyallup,,
98372,Puyallup,,
98373,Puyallup,,
98374,Puyallup,,
98375,Puyallup,,
98376,Quilcene,,
98377,Randle,,
98378,Retsil,,
98380,Seabeck,,
98381,Sekiu,,
98382,Sequim,,
98383,Silverdale,,
98384,South Colby,,
98385,South Prairie,,
98386,Southworth,,
98387,Spanaway,,
98388,Steilacoom,,
98390,Sumner,,
98391,Bonney Lake,,
98392,Suquamish,,
98393,Tracyton,,
98394,Vaughn,,
98395,Wauna,,
98396,Wilkeson,,
98397,Longmire,,
98398,Paradise Inn,,
98401,Tacoma,,
98402,Tacoma,,
98403,Tacoma,,
98404,Tacoma,,
98405,Tacoma,,
98406,Tacoma,,
98407,Tacoma,,
98408,Tacoma,,
98409,Tacoma,,
98411,Tacoma,,
98412,Tacoma,,
98413,Tacoma,,
98415,Tacoma,,
98416,Tacoma,,
98417,Tacoma,,
98418,Tacoma,,
98419,Tacoma,,
98421,Tacoma,,
98422,Tacoma,,
98424,Tacoma,,
98430,Camp Murray,,
98431,Tacoma,,
98433,Tacoma,,
98438,Mcchord Afb,,
98439,Lakewood,,
98442,Tacoma,,
98443,Tacoma,,
98444,Tacoma,,
98445,Tacoma,,
98446,Tacoma,,
98447,Tacoma,,
98448,Tacoma,,
98450,Tacoma,,
98455,Tacoma,,
98460,Tacoma,,
98464,Tacoma,,
98465,Tacoma,,
98466,Tacoma,,
98467,University Place,,
98471,Tacoma,,
98477,Tacoma,,
98481,Tacoma,,
98490,Tacoma,,
98492,Lakewood,,
98493,Tacoma,,
98496,Lakewood,,
98497,Lakewood,,
98498,Lakewood,,
98499,Lakewood,,
98501,Olympia,,
98502,Olympia,,
98503,Lacey,,
98504,Olympia,,
98505,Olympia,,
98506,Olympia,,
98507,Olympia,,
98508,Olympia,,
98509,Lacey,,
98511,Tumwater,,
98512,Olympia,,
98513,Olympia,,
98516,Olympia,,
98520,Aberdeen,,
98522,Adna,,
98524,Allyn,,
98526,Amanda Park,,
98527,Bay Center,,
98528,Belfair,,
98530,Bucoda,,
98531,Centralia,,
98532,Chehalis,,
98533,Cinebar,,
98535,Copalis Beach,,
98536,Copalis Crossing,,
98537,Cosmopolis,,
98538,Curtis,,
98539,Doty,,
98540,East Olympia,,
98541,Elma,,
98542,Ethel,,
98544,Galvin,,
98546,Grapeview,,
98547,Grayland,,
98548,Hoodsport,,
98550,Hoquiam,,
98552,Humptulips,,
98554,Lebam,,
98555,Lilliwaup,,
98556,Littlerock,,
98557,Mccleary,,
98558,Mckenna,,
98559,Malone,,
98560,Matlock,,
98561,Menlo,,
98562,Moclips,,
98563,Montesano,,
98564,Mossyrock,,
98565,Napavine,,
98566,Neilton,,
98568,Oakville,,
98569,Ocean Shores,,
98570,Onalaska,,
98571,Pacific Beach,,
98572,Pe Ell,,
98575,Quinault,,
98576,Rainier,,
98577,Raymond,,
98579,Rochester,,
98580,Roy,,
98581,Ryderwood,,
98582,Salkum,,
98583,Satsop,,
98584,Shelton,,
98585,Silver Creek,,
98586,South Bend,,
98587,Taholah,,
98588,Tahuya,,
98589,Tenino,,
98590,Tokeland,,
98591,Toledo,,
98592,Union,,
98593,Vader,,
98595,Westport,,
98596,Winlock,,
98597,Yelm,,
98599,Olympia,,
98601,Amboy,,
98602,Appleton,,
98603,Ariel,,
98604,Battle Ground,,
98605,Bingen,,
98606,Brush Prairie,,
98607,Camas,,
98609,Carrolls,,
98610,Carson,,
98611,Castle Rock,,
98612,Cathlamet,,
98613,Centerville,,
98614,Chinook,,
98616,Cougar,,
98617,Dallesport,,
98619,Glenwood,,
98620,Goldendale,,
98621,Grays River,,
98622,Heisson,,
98623,Husum,,
98624,Ilwaco,,
98625,Kalama,,
98626,Kelso,,
98628,Klickitat,,
98629,La Center,,
98631,Long Beach,,
98632,Longview,,
98635,Lyle,,
98637,Nahcotta,,
98638,Naselle,,
98639,North Bonneville,,
98640,Ocean Park,,
98641,Oysterville,,
98642,Ridgefield,,
98643,Rosburg,,
98644,Seaview,,
98645,Silverlake,,
98647,Skamokawa,,
98648,Stevenson,,
98649,Toutle,,
98650,Trout Lake,,
98651,Underwood,,
98660,Vancouver,,
98661,Vancouver,,
98662,Vancouver,,
98663,Vancouver,,
98664,Vancouver,,
98665,Vancouver,,
98666,Vancouver,,
98667,Vancouver,,
98668,Vancouver,,
98670,Wahkiacus,,
98671,Washougal,,
98672,White Salmon,,
98673,Wishram,,
98674,Woodland,,
98675,Yacolt,,
98682,Vancouver,,
98683,Vancouver,,
98684,Vancouver,,
98685,Vancouver,,
98686,Vancouver,,
98687,Vancouver,,
98801,Wenatchee,,
98802,East Wenatchee,,
98807,Wenatchee,,
98811,Ardenvoir,,
98812,Brewster,,
98813,Bridgeport,,
98814,Carlton,,
98815,Cashmere,,
98816,Chelan,,
98817,Chelan Falls,,
98819,Conconully,,
98821,Dryden,,
98822,Entiat,,
98823,Ephrata,,
98824,George,,
98826,Leavenworth,,
98827,Loomis,,
98828,Malaga,,
98829,Malott,,
98830,Mansfield,,
98831,Manson,,
98832,Marlin,,
98833,Mazama,,
98834,Methow,,
98836,Monitor,,
98837,Moses Lake,,
98840,Okanogan,,
98841,Omak,,
98843,Orondo,,
98844,Oroville,,
98845,Palisades,,
98846,Pateros,,
98847,Peshastin,,
98848,Quincy,,
98849,Riverside,,
98850,Rock Island,,
98851,Soap Lake,,
98852,Stehekin,,
98853,Stratford,,
98855,Tonasket,,
98856,Twisp,,
98857,Warden,,
98858,Waterville,,
98859,Wauconda,,
98860,Wilson Creek,,
98862,Winthrop,,
98901,Yakima,,
98902,Yakima,,
98903,Yakima,,
98904,Yakima,,
98907,Yakima,,
98908,Yakima,,
98909,Yakima,,
98920,Brownstown,,
98921,Buena,,
98922,Cle Elum,,
98923,Cowiche,,
98925,Easton,,
98926,Ellensburg,,
98929,Goose Prairie,,
98930,Grandview,,
98932,Granger,,
98933,Harrah,,
98934,Kittitas,,
98935,Mabton,,
98936,Moxee,,
98937,Naches,,
98938,Outlook,,
98939,Parker,,
98940,Ronald,,
98941,Roslyn,,
98942,Selah,,
98943,South Cle Elum,,
98944,Sunnyside,,
98946,Thorp,,
98947,Tieton,,
98948,Toppenish,,
98950,Vantage,,
98951,Wapato,,
98952,White Swan,,
98953,Zillah,,
99001,Airway Heights,,
99003,Chattaroy,,
99004,Cheney,,
99005,Colbert,,
99006,Deer Park,,
99008,Edwall,,
99009,Elk,,
99011,Fairchild Air Force Base,,
99012,Fairfield,,
99013,Ford,,
99014,Four Lakes,,
99016,Greenacres,,
99017,Lamont,,
99018,Latah,,
99019,Liberty Lake,,
99020,Marshall,,
99021,Mead,,
99022,Medical Lake,,
99023,Mica,,
99025,Newman Lake,,
99026,Nine Mile Falls,,
99027,Otis Orchards,,
99029,Reardan,,
99030,Rockford,,
99031,Spangle,,
99032,Sprague,,
99033,Tekoa,,
99034,Tumtum,,
99036,Valleyford,,
99037,Veradale,,
99039,Waverly,,
99040,Wellpinit,,
99101,Addy,,
99102,Albion,,
99103,Almira,,
99104,Belmont,,
99105,Benge,,
99107,Boyds,,
99109,Chewelah,,
99110,Clayton,,
99111,Colfax,,
99113,Colton,,
99114,Colville,,
99115,Coulee City,,
99116,Coulee Dam,,
99117,Creston,,
99118,Curlew,,
99119,Cusick,,
99121,Danville,,
99122,Davenport,,
99123,Electric City,,
99124,Elmer City,,
99125,Endicott,,
99126,Evans,,
99128,Farmington,,
99129,Fruitland,,
99130,Garfield,,
99131,Gifford,,
99133,Grand Coulee,,
99134,Harrington,,
99135,Hartline,,
99136,Hay,,
99137,Hunters,,
99138,Inchelium,,
99139,Ione,,
99140,Keller,,
99141,Kettle Falls,,
99143,Lacrosse,,
99144,Lamona,,
99146,Laurier,,
99147,Lincoln,,
99148,Loon Lake,,
99149,Malden,,
99150,Malo,,
99151,Marcus,,
99152,Metaline,,
99153,Metaline Falls,,
99154,Mohler,,
99155,Nespelem,,
99156,Newport,,
99157,Northport,,
99158,Oakesdale,,
99159,Odessa,,
99160,Orient,,
99161,Palouse,,
99163,Pullman,,
99164,Pullman,,
99165,Pullman,,
99166,Republic,,
99167,Rice,,
99169,Ritzville,,
99170,Rosalia,,
99171,Saint John,,
99173,Springdale,,
99174,Steptoe,,
99176,Thornton,,
99179,Uniontown,,
99180,Usk,,
99181,Valley,,
99185,Wilbur,,
99201,Spokane,,
99202,Spokane,,
99203,Spokane,,
99204,Spokane,,
99205,Spokane,,
99206,Spokane,,
99207,Spokane,,
99208,Spokane,,
99209,Spokane,,
99210,Spokane,,
99211,Spokane,,
99212,Spokane,,
99213,Spokane,,
99214,Spokane,,
99215,Spokane,,
99216,Spokane,,
99217,Spokane,,
99218,Spokane,,
99219,Spokane,,
99220,Spokane,,
99223,Spokane,,
99224,Spokane,,
99228,Spokane,,
99251,Spokane,,
99252,Spokane,,
99256,Spokane,,
99258,Spokane,,
99260,Spokane,,
99299,Spokane,,
99301,Pasco,,
99302,Pasco,,
99320,Benton City,,
99321,Beverly,,
99322,Bickleton,,
99323,Burbank,,
99324,College Place,,
99326,Connell,,
99328,Dayton,,
99329,Dixie,,
99330,Eltopia,,
99333,Hooper,,
99335,Kahlotus,,
99336,Kennewick,,
99337,Kennewick,,
99338,Kennewick,,
99341,Lind,,
99343,Mesa,,
99344,Othello,,
99345,Paterson,,
99346,Plymouth,,
99347,Pomeroy,,
99348,Prescott,,
99349,Mattawa,,
99350,Prosser,,
99352,Richland,,
99353,West Richland,,
99354,Richland,,
99356,Roosevelt,,
99357,Royal City,,
99359,Starbuck,,
99360,Touchet,,
99361,Waitsburg,,
99362,Walla Walla,,
99363,Wallula,,
99371,Washtucna,,
99401,Anatone,,
99402,Asotin,,
99403,Clarkston,,
